A0A7R8UXN1	A0A7R8UXN1
A0A7R8VMZ6	A0A7R8VMZ6
A0A7R8YM80	A0A7R8YM80
A0A7R9CDS5	A0A7R9CDS5
A0A7R9EQC5	A0A7R9EQC5
A0A7R9KCB1	A0A7R9KCB1
A0A7R9KKH5	A0A7R9KKH5
A0A7R9KNW8	A0A7R9KNW8
A0A7R9KPG7	A0A7R9KPG7
A0A7R9LA71	A0A7R9LA71
A0A7R9SI01	A0A7R9SI01
A0A7R9SJ73	A0A7R9SJ73
A0A7S0UI71	A0A7S0UI71
A0A7S1FVH2	A0A7S1FVH2
A0A7S1FVH2	A0A7S1BME2
A0A7S4SHG8	A0A7S4SHG8
A0A7S4SHG8	A0A7S4W6F2
A0A7S4SHG8	A0A7S4SJ41
A0A803SXH3	A0A803SXH3
A0A803YI33	A0A803YI33
A0A811YVD4	A0A811YVD4
A0A811YVD4	G1LI64
A0A811YVD4	A0A7N5P253
A0A815N8U7	A0A815N8U7
A0A818KZN2	A0A818KZN2
A0A818KZN2	A0A816F3V6
A0A818KZN2	A0A818XV20
A0A818KZN2	A0A815S7S2
A0A821P2M2	A0A821P2M2
A0A821P2M2	A0A9P0XE20
A0A821P535	A0A821P535
A0A821P535	A0A9P0XE27
A0A821QKR0	A0A821QKR0
A0A821QKR0	A0A9P0SVM2
A0A821QVU5	A0A821QVU5
A0A821R2K1	A0A821R2K1
A0A821R2K1	A0A821R861
A0A821R646	A0A821R646
A0A821SF98	A0A821SF98
A0A821SF98	A0A9P0XE94
A0A821SV20	A0A821SV20
A0A821SV20	A0A9P0X9Y3
A0A821SV20	A0A821SS35
A0A821SV20	A0A821STG4
A0A821SV20	A0A821STH5
A0A821SV20	A0AAV1J4W5
A0A821SWK6	A0A821SWK6
A0A821SWK6	A0A9P0X1S4
A0A821U427	A0A821U427
A0A821U427	A0A821U436
A0A821U427	A0A821KXG1
A0A821U427	A0A821TWQ5
A0A821U427	A0A821TVN5
A0A821U427	A0A821TVM5
A0A821U427	A0A821R691
A0A821U427	A0A821KZF6
A0A8D0A116	A0A8D0A116
A0A8D0A116	B5X8S0
A0A8D0A116	A0A3Q2P147
A0A8D0A116	A0A4U5V505
A0A8D0A116	A0A4W5PRX9
A0A8D0A116	A0A5C6MHL0
A0A8D0A116	A0A667ZN76
A0A8D0A116	A0A673CHU2
A0A8D0A116	A0A6P8UJV5
A0A8D0A116	A0A8C5D7P8
A0A8D0A116	A0A8C6TED1
A0A8D0A116	A0A8C7CCG3
A0A8D0A116	A0A8C8EZ06
A0A8D0A116	A0A8D0A0Z9
A0A8D0A116	A0A8U0QU92
A0A8D0A116	A0AAJ7LPZ3
A0A8D0A116	A0AAN7XLG6
A0A8D0A116	A0AAN8BVA5
A0A8D0A116	Q8JFQ7
A0A8D0A116	Q9W6K0
A0A8D0A116	A0A3P8WB72
A0A8D0A116	A0A3Q3JX38
A0A8D0A116	A0A4W5MD78
A0A8D0A116	A0A4W5PV61
A0A8D0A116	A0A5J5DEI3
A0A8D0A116	A0A6G0IBY3
A0A8D0A116	A0A6P8VLZ7
A0A8D0A116	A0A8D0A0R3
A0A8D0A116	A0A8U0QW75
A0A8D0A116	A0AAD3N4C2
A0A8D0A116	A0AAD6A9A6
A0A8D0A116	A0AAV1QEY9
A0A8D0A116	A7VMR9
A0A8D0A116	F2XFT6
A0A8D0A116	A0A3P8W844
A0A8D0A116	A0A3Q1JP58
A0A8D0A116	A0A4Z2HU35
A0A8D0A116	A0A667ZTY9
A0A8D0A116	A0A8C4ZJE7
A0A8D0A116	A0A8C7LRL4
A0A8D0A116	A0A8C8GQ57
A0A8D0A116	A0AAD9C5H8
A0A8D0A116	A0AAD9C7K6
A0A8D0A116	A0AAV1FMJ4
A0A8D0A116	A0AAW1DX95
A0A8D0A116	F2XFT8
A0A8D0A116	F2XFW2
A0A8D0A116	Q92046
A0A8D0A116	A0A3B3ZKG6
A0A8D0A116	A0A3B4U414
A0A8D0A116	A0A3Q3RR76
A0A8D0A116	A0A484D7T5
A0A8D0A116	A0A4Z2JHH9
A0A8D0A116	A0A8C2WTX8
A0A8D0A116	A0A8C5F828
A0A8D0A116	A0A8U0QU87
A0A8D0A116	A0AAV2MAJ0
A0A8D0A116	A0A1S3N681
A0A8D0A116	A0A3B3ZKV9
A0A8D0A116	A0A3Q3W249
A0A8D0A116	A0A4W6BNW0
A0A8D0A116	A0A674B9K6
