cluster_id,class_label,cluster_size,motif_both_motifs,motif_histidine_only,motif_serine_only,motif_neither_motif
bg__A0A009IHW8,0,1,,,,
bg__A0A024RBG1,0,2,,,,
bg__A0A024SC78,0,2,,,,
bg__A0A059ZRB8,0,1,,,,
bg__A0A060LAL9,0,2,,,,
bg__A0A067CMC7,0,1,,,,
bg__A0A067DFU5,0,1,,,,
bg__A0A067XR63,0,1,,,,
bg__A0A067XRK9,0,2,,,,
bg__A0A067YMX8,0,1,,,,
bg__A0A069AMK2,0,1,,,,
bg__A0A075D654,0,1,,,,
bg__A0A075D6M1,0,2,,,,
bg__A0A075TR27,0,1,,,,
bg__A0A075TRB3,0,1,,,,
bg__A0A075TRL0,0,2,,,,
bg__A0A078ISJ6,0,1,,,,
bg__A0A081HJP9,0,1,,,,
bg__A0A084JZF2,0,1,,,,
bg__A0A096ZED0,0,1,,,,
bg__A0A097ZPD5,0,1,,,,
bg__A0A0A1GNF2,0,1,,,,
bg__A0A0A1H8I4,0,1,,,,
bg__A0A0A2JAR6,0,1,,,,
bg__A0A0A7HF73,0,1,,,,
bg__A0A0A7HIF0,0,1,,,,
bg__A0A0A7XNA3,0,1,,,,
bg__A0A0B4J1L0,0,1,,,,
bg__A0A0B5AC19,0,1,,,,
bg__A0A0B5JC15,0,1,,,,
bg__A0A0D1DPX0,0,1,,,,
bg__A0A0D1DWQ2,0,1,,,,
bg__A0A0D2H023,0,1,,,,
bg__A0A0D3MJQ5,0,1,,,,
bg__A0A0D4WV12,0,8,,,,
bg__A0A0D8BWP6,0,3,,,,
bg__A0A0E3NFS5,0,3,,,,
bg__A0A0E3USC3,0,1,,,,
bg__A0A0E4AE82,0,1,,,,
bg__A0A0F5HNH9,0,1,,,,
bg__A0A0F5HPP7,0,1,,,,
bg__A0A0F7TXA1,0,1,,,,
bg__A0A0F7TZD6,0,4,,,,
bg__A0A0F7U1Z1,0,1,,,,
bg__A0A0F9ZXE3,0,1,,,,
bg__A0A0G4KL96,0,1,,,,
bg__A0A0H2V871,0,1,,,,
bg__A0A0H2V8B5,0,1,,,,
bg__A0A0H2VA12,0,1,,,,
bg__A0A0H2WZY4,0,1,,,,
bg__A0A0H2XEK8,0,1,,,,
bg__A0A0H2ZF87,0,1,,,,
bg__A0A0H2ZLL3,0,1,,,,
bg__A0A0H2ZM82,0,1,,,,
bg__A0A0H2ZQL5,0,1,,,,
bg__A0A0H3B1Q8,0,1,,,,
bg__A0A0H3DN66,0,3,,,,
bg__A0A0H3G4K1,0,1,,,,
bg__A0A0H3GM48,0,1,,,,
bg__A0A0H3JN63,0,1,,,,
bg__A0A0H3JQ59,0,1,,,,
bg__A0A0H3JU78,0,1,,,,
bg__A0A0H3JXA8,0,1,,,,
bg__A0A0H3KNC4,0,1,,,,
bg__A0A0H3KNE7,0,1,,,,
bg__A0A0H3L116,0,1,,,,
bg__A0A0H3L1B8,0,1,,,,
bg__A0A0H3LM39,0,1,,,,
bg__A0A0H3MD02,0,3,,,,
bg__A0A0H3MDW1,0,1,,,,
bg__A0A0H3PEK7,0,1,,,,
bg__A0A0J5WTU0,0,1,,,,
bg__A0A0J9X285,0,1,,,,
bg__A0A0K2H9D8,0,1,,,,
bg__A0A0K3AUJ9,0,5,,,,
bg__A0A0K8P6T7,0,1,,,,
bg__A0A0K8P8V5,0,1,,,,
bg__A0A0M0ELU2,0,1,,,,
bg__A0A0M3KKW3,0,1,,,,
bg__A0A0M4FTF3,0,1,,,,
bg__A0A0M9VUI4,0,1,,,,
bg__A0A0M9VX84,0,1,,,,
